Age Group,Gender,Event,Course,B,BB,A,AA,AAA,AAAA
13-14,Girls,100 FR,SCM,1:18.49,1:12.89,1:07.29,1:04.49,1:01.69,58.89
13-14,Girls,200 FR,SCM,2:49.79,2:37.69,2:25.49,2:19.49,2:13.39,2:07.29
13-14,Girls,400 FR,SCM,6:00.69,5:34.99,5:09.19,4:56.29,4:43.39,4:30.59
13-14,Girls,800 FR,SCM,12:24.69,11:31.49,10:38.29,10:11.69,9:45.09,9:18.49
13-14,Girls,1500 FR,SCM,23:34.29,21:53.29,20:12.29,19:21.79,18:31.29,17:40.79
13-14,Girls,50 BK,SCM,39.99,37.19,34.29,32.89,31.49,29.99
13-14,Girls,100 BK,SCM,1:24.99,1:18.89,1:12.89,1:09.79,1:06.79,1:03.79
13-14,Girls,200 BK,SCM,3:03.89,2:50.69,2:37.59,2:30.99,2:24.49,2:17.89
13-14,Girls,50 BR,SCM,46.49,43.19,39.89,38.19,36.49,34.89
13-14,Girls,100 BR,SCM,1:37.99,1:30.99,1:23.99,1:20.49,1:16.99,1:13.49
13-14,Girls,200 BR,SCM,3:31.09,3:15.99,3:00.89,2:53.39,2:45.89,2:38.29
13-14,Girls,50 FL,SCM,39.59,36.79,33.89,32.49,31.09,29.69
13-14,Girls,100 FL,SCM,1:24.89,1:18.79,1:12.79,1:09.69,1:06.69,1:03.69
13-14,Girls,200 FL,SCM,3:09.19,2:55.69,2:42.19,2:35.39,2:28.59,2:21.89
13-14,Girls,200 IM,SCM,3:09.79,2:56.19,2:42.69,2:35.89,2:29.09,2:22.39
13-14,Girls,400 IM,SCM,6:44.19,6:15.29,5:46.39,5:31.99,5:17.59,5:03.09
