standard_type,age_group,age,gender,event,course,b,bb,a,aa,aaa,aaaa
single_age,,15,girls,200 br,scy,188.19,174.69,161.29,154.59,147.89,141.19
single_age,,15,girls,100 fl,scy,75.79,70.39,64.99,62.29,59.59,56.79
single_age,,15,girls,200 fl,scy,168.19,156.19,144.19,138.19,132.19,126.19
single_age,,15,girls,200 im,scy,168.89,156.89,144.79,138.79,132.69,126.69
single_age,,15,girls,400 im,scy,362.79,336.89,310.99,297.99,285.09,272.09
single_age,,15,boys,50 fr,scy,21.69,22.69,23.69,24.69,26.79,28.89
single_age,,15,boys,100 fr,scy,47.49,49.79,51.99,54.29,58.79,63.29
single_age,,15,boys,200 fr,scy,103.79,108.69,113.59,118.59,128.39,138.29
single_age,,15,boys,500 fr,scy,282.29,295.69,309.09,322.59,349.49,376.29
single_age,,15,boys,1000 fr,scy,587.79,615.79,643.79,671.79,727.69,783.69
single_age,,15,boys,1650 fr,scy,980.79,1027.49,1074.19,1120.89,1214.29,1307.69
single_age,,15,boys,100 bk,scy,52.09,54.59,57.09,59.59,64.49,69.49
single_age,,15,boys,200 bk,scy,113.89,119.29,124.69,130.09,140.99,151.79
single_age,,15,boys,100 br,scy,58.99,61.79,64.59,67.39,72.99,78.59
single_age,,15,boys,200 br,scy,128.59,134.79,140.89,146.99,159.19,171.49
single_age,,15,boys,100 fl,scy,51.49,53.99,56.39,58.89,63.79,68.69
single_age,,15,boys,200 fl,scy,115.49,120.99,126.49,131.99,142.99,153.99
single_age,,15,boys,200 im,scy,115.69,121.19,126.69,132.19,143.19,154.19
single_age,,15,boys,400 im,scy,248.69,260.49,272.39,284.19,307.89,331.59
single_age,,16,girls,50 fr,scy,31.99,29.69,27.39,26.29,25.09,23.99
single_age,,16,girls,100 fr,scy,69.39,64.39,59.49,56.99,54.49,51.99
single_age,,16,girls,200 fr,scy,149.39,138.69,128.09,122.69,117.39,112.09
single_age,,16,girls,500 fr,scy,402.59,373.89,345.09,330.69,316.39,301.99
single_age,,16,girls,1000 fr,scy,838.19,778.39,718.49,688.49,658.59,628.69
single_age,,16,girls,1650 fr,scy,1403.29,1303.09,1202.89,1152.79,1102.59,1052.49
single_age,,16,girls,100 bk,scy,74.99,69.59,64.29,61.59,58.89,56.29
single_age,,16,girls,200 bk,scy,162.49,150.89,139.29,133.49,127.69,121.89
single_age,,16,girls,100 br,scy,86.59,80.39,74.19,71.09,67.99,64.99
single_age,,16,girls,200 br,scy,187.49,174.09,160.69,153.99,147.29,140.59
single_age,,16,girls,100 fl,scy,74.79,69.39,64.09,61.39,58.79,56.09
single_age,,16,girls,200 fl,scy,166.39,154.49,142.59,136.69,130.69,124.79
single_age,,16,girls,200 im,scy,167.29,155.39,143.39,137.39,131.49,125.49
