Age,Gender,Event,Course,B,BB,A,AA,AAA,AAAA
17,Boys,500 FR,SCY,4:35.49,4:48.59,5:01.69,5:14.89,5:41.09,6:07.29
17,Boys,1000 FR,SCY,9:36.99,10:04.49,10:31.99,10:59.39,11:54.39,12:49.29
17,Boys,1650 FR,SCY,16:03.89,16:49.79,17:35.69,18:21.59,19:53.39,21:25.19
17,Boys,100 BK,SCY,50.09,52.49,54.89,57.29,1:02.09,1:06.79
17,Boys,200 BK,SCY,1:49.59,1:54.79,1:59.99,2:05.19,2:15.69,2:26.09
17,Boys,100 BR,SCY,56.69,59.39,1:02.09,1:04.69,1:10.09,1:15.49
17,Boys,200 BR,SCY,2:03.19,2:09.09,2:14.89,2:20.79,2:32.49,2:44.19
17,Boys,100 FL,SCY,49.59,51.99,54.29,56.69,1:01.39,1:06.09
17,Boys,200 FL,SCY,1:51.59,1:56.89,2:02.19,2:07.49,2:18.19,2:28.79
17,Boys,200 IM,SCY,1:52.19,1:57.49,2:02.89,2:08.19,2:18.89,2:29.59
17,Boys,400 IM,SCY,4:01.49,4:12.99,4:24.49,4:35.99,4:58.99,5:21.99
18,Girls,50 FR,SCY,31.49,29.29,26.99,25.89,24.79,23.69
18,Girls,100 FR,SCY,1:08.39,1:03.49,58.59,56.19,53.79,51.29
18,Girls,200 FR,SCY,2:28.59,2:17.99,2:07.39,2:02.09,1:56.79,1:51.39
18,Girls,500 FR,SCY,6:38.19,6:09.69,5:41.29,5:27.09,5:12.89,4:58.59
18,Girls,1000 FR,SCY,13:54.39,12:54.79,11:55.19,11:25.39,10:55.59,10:25.79
18,Girls,1650 FR,SCY,22:55.39,21:17.19,19:38.89,18:49.79,18:00.69,17:11.59
18,Girls,100 BK,SCY,1:14.39,1:09.09,1:03.79,1:01.09,58.49,55.79
18,Girls,200 BK,SCY,2:41.79,2:30.19,2:18.69,2:12.89,2:07.09,2:01.39
18,Girls,100 BR,SCY,1:25.19,1:19.09,1:12.99,1:09.99,1:06.89,1:03.89
18,Girls,200 BR,SCY,3:04.89,2:51.69,2:38.49,2:31.89,2:25.29,2:18.69
18,Girls,100 FL,SCY,1:13.89,1:08.59,1:03.29,1:00.69,57.99,55.39
18,Girls,200 FL,SCY,2:43.59,2:31.89,2:20.19,2:14.39,2:08.49,2:02.69
18,Girls,200 IM,SCY,2:46.09,2:34.29,2:22.39,2:16.49,2:10.49,2:04.59
18,Girls,400 IM,SCY,5:53.89,5:28.59,5:03.39,4:50.69,4:38.09,4:25.39
18,Boys,50 FR,SCY,20.69,21.69,22.69,23.69,25.69,27.59
18,Boys,100 FR,SCY,45.49,47.69,49.89,51.99,56.39,1:00.69
18,Boys,200 FR,SCY,1:40.59,1:45.39,1:50.19,1:54.89,2:04.49,2:14.09
18,Boys,500 FR,SCY,4:33.59,4:46.69,4:59.69,5:12.69,5:38.79,6:04.79
18,Boys,1000 FR,SCY,9:34.89,10:02.29,10:29.59,10:56.99,11:51.79,12:46.49
18,Boys,1650 FR,SCY,15:58.19,16:43.79,17:29.39,18:14.99,19:46.29,21:17.49
18,Boys,100 BK,SCY,49.19,51.59,53.89,56.19,1:00.89,1:05.59
18,Boys,200 BK,SCY,1:48.29,1:53.49,1:58.59,2:03.79,2:14.09,2:24.39
18,Boys,100 BR,SCY,56.19,58.89,1:01.59,1:04.19,1:09.59,1:14.89
18,Boys,200 BR,SCY,2:02.19,2:07.99,2:13.79,2:19.59,2:31.29,2:42.89
18,Boys,100 FL,SCY,49.19,51.59,53.89,56.19,1:00.89,1:05.59
18,Boys,200 FL,SCY,1:50.69,1:55.89,2:01.19,2:06.49,2:16.99,2:27.49
18,Boys,200 IM,SCY,1:50.89,1:56.19,2:01.49,2:06.79,2:17.29,2:27.89
18,Boys,400 IM,SCY,3:59.39,4:10.79,4:22.19,4:33.59,4:56.39,5:19.09
