standard_type,age_group,gender,distance,stroke,sort_order,course,b,bb,a,aa,aaa,aaaa
age_group,13-14,girls,200,im,5,scm,189.79,176.19,162.69,155.89,149.09,142.39
age_group,13-14,girls,400,im,5,scm,404.19,375.29,346.39,331.99,317.59,303.09
age_group,13-14,girls,200,fr-r,6,scm,150.59,139.89,129.09,123.69,118.39,112.99
age_group,13-14,girls,400,fr-r,6,scm,328.49,304.99,281.59,269.79,258.09,246.39
age_group,13-14,girls,800,fr-r,6,scm,717.29,666.09,614.89,589.19,563.59,537.99
age_group,13-14,girls,200,med-r,7,scm,165.59,153.79,141.89,135.99,130.09,124.19
age_group,13-14,girls,400,med-r,7,scm,361.29,335.49,309.69,296.79,283.89,270.99
age_group,13-14,boys,50,fr,1,scm,32.99,30.69,28.29,27.09,25.89,24.79
age_group,13-14,boys,100,fr,1,scm,71.79,66.69,61.49,58.99,56.39,53.89
age_group,13-14,boys,200,fr,1,scm,157.49,146.19,134.99,129.39,123.69,118.09
age_group,13-14,boys,400,fr,1,scm,337.49,313.39,289.29,277.29,265.19,253.19
age_group,13-14,boys,800,fr,1,scm,698.19,648.39,598.49,573.59,548.59,523.69
age_group,13-14,boys,1500,fr,1,scm,1334.89,1239.49,1144.19,1096.49,1048.79,1001.19
age_group,13-14,boys,50,bk,2,scm,37.19,34.59,31.89,30.59,29.19,27.89
age_group,13-14,boys,100,bk,2,scm,78.79,73.09,67.49,64.69,61.89,59.09
age_group,13-14,boys,200,bk,2,scm,170.99,158.69,146.49,140.39,134.29,128.19
age_group,13-14,boys,50,br,3,scm,42.59,39.59,36.49,34.99,33.49,31.99
age_group,13-14,boys,100,br,3,scm,88.99,82.59,76.29,73.09,69.89,66.79
age_group,13-14,boys,200,br,3,scm,193.19,179.39,165.59,158.69,151.79,144.89
age_group,13-14,boys,50,fl,4,scm,36.59,33.99,31.39,30.09,28.79,27.49
age_group,13-14,boys,100,fl,4,scm,77.89,72.29,66.79,63.99,61.19,58.39
age_group,13-14,boys,200,fl,4,scm,173.29,160.89,148.49,142.39,136.19,129.99
age_group,13-14,boys,200,im,5,scm,174.49,162.09,149.59,143.39,137.09,130.89
