standard_type,age_group,age,gender,distance,stroke,sort_order,course,b,bb,a,aa,aaa,aaaa
single_age,,10,boys,100,fr,1,scm,97.69,87.69,77.59,74.19,70.79,67.49
single_age,,10,girls,200,fr,1,scm,223.99,199.49,174.99,166.79,158.59,150.39
single_age,,10,boys,200,fr,1,scm,209.49,188.59,167.59,160.69,153.69,146.69
single_age,,10,girls,400,fr,1,scm,452.69,407.49,362.19,347.09,331.99,316.89
single_age,,10,boys,400,fr,1,scm,441.49,397.29,353.19,338.49,323.79,308.99
single_age,,10,girls,50,bk,2,scm,53.69,47.79,41.89,39.99,37.99,36.09
single_age,,10,boys,50,bk,2,scm,53.59,47.69,41.69,39.69,37.79,35.79
single_age,,10,girls,100,bk,2,scm,116.89,103.89,90.89,86.59,82.29,77.99
single_age,,10,boys,100,bk,2,scm,111.69,99.99,88.29,84.39,80.39,76.49
single_age,,10,girls,50,br,3,scm,60.29,53.79,47.29,45.09,42.99,40.79
single_age,,10,boys,50,br,3,scm,59.09,52.79,46.49,44.49,42.39,40.29
single_age,,10,girls,100,br,3,scm,132.89,118.19,103.39,98.49,93.59,88.69
single_age,,10,boys,100,br,3,scm,127.59,114.49,101.29,96.89,92.49,88.09
single_age,,10,girls,50,fl,4,scm,53.49,47.19,40.89,38.79,36.69,34.59
single_age,,10,boys,50,fl,4,scm,51.39,45.59,39.79,37.89,35.99,34.09
single_age,,10,girls,100,fl,4,scm,128.89,112.09,95.19,89.49,83.89,78.29
single_age,,10,boys,100,fl,4,scm,125.89,109.69,93.49,88.09,82.69,77.29
single_age,,10,girls,100,im,5,scm,115.99,103.69,91.29,87.19,83.09,78.99
single_age,,10,boys,100,im,5,scm,110.29,99.29,88.19,84.59,80.89,77.19
single_age,,10,girls,200,im,5,scm,246.39,220.59,194.69,186.09,177.49,168.89
single_age,,10,boys,200,im,5,scm,241.59,216.59,191.69,183.39,175.09,166.69
single_age,,11,girls,50,fr,1,scm,39.09,36.39,33.69,32.39,30.99,29.69
single_age,,11,boys,50,fr,1,scm,38.79,35.99,33.19,31.89,30.49,29.09
single_age,,11,girls,100,fr,1,scm,85.89,79.69,73.59,70.49,67.49,64.39
single_age,,11,boys,100,fr,1,scm,83.99,77.99,71.99,68.99,65.99,62.99
single_age,,11,girls,200,fr,1,scm,186.89,173.49,160.19,153.49,146.89,140.19
single_age,,11,boys,200,fr,1,scm,184.09,170.99,157.79,151.19,144.69,138.09
single_age,,11,girls,400,fr,1,scm,397.29,368.89,340.49,326.39,312.19,297.99
single_age,,11,boys,400,fr,1,scm,390.49,362.59,334.69,320.69,306.79,292.89
single_age,,11,girls,800,fr,1,scm,826.39,767.39,708.39,678.89,649.39,619.79
single_age,,11,boys,800,fr,1,scm,821.39,762.69,703.99,674.69,645.39,615.99
single_age,,11,girls,1500,fr,1,scm,1595.29,1481.39,1367.39,1310.49,1253.49,1196.49
